depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p
0.00	1	14	7.81	2.45	26	13.50	3.50			1.77	1.18	22	4.04	-0.10			6.68	0.36	21	7.18	6.09			9.49	0.70	5	10.55	8.75			1.79	0.94	5	3.00	0.80			6.95	0.32	8	7.38	6.49			9.64	0.99	2	10.34	8.94			0.85	0.21	27	1.38	0.60	1.13	0.60	0.09	0.02	6	0.13	0.06			6.40	0.92	6	7.61	5.09			5.19	0.94	22	7.81	3.73			0.11	0.12	27	0.49	0.01	0.39	0.04	19.56	3.27	23	26.01	15.40			0.49	0.29	26	1.70	0.20					0							0					7.54		1	7.54	7.54			1.60	0.02	3	1.63	1.58			22.32	1.44	26	26.17	20.21			1.08	0.23	26	1.61	0.73		
0.00	2	14	9.25	3.34	28	14.50	3.00			1.01	1.01	23	3.36	-0.24			6.65	0.27	23	7.24	6.07			9.55	0.74	5	10.75	8.78			0.96	1.08	6	2.10	-0.30			6.80	0.33	10	7.33	6.37			9.84	0.74	3	10.36	9.00			0.80	0.18	29	1.24	0.54	1.07	0.57	0.15	0.03	7	0.19	0.10			6.30	1.22	7	7.56	4.44			5.40	0.76	24	7.05	4.19			0.11	0.09	28	0.34	0.04			19.10	3.26	24	24.95	12.20			0.70	0.56	28	3.02	0.24					0							0					7.81	0.05	2	7.85	7.77			1.61	0.02	3	1.63	1.59			22.80	1.31	28	25.56	20.83			1.05	0.20	28	1.51	0.71		
0.00	3	14	9.81	2.16	29	15.75	5.80			1.37	1.04	25	3.60	-0.19			6.53	0.35	25	7.19	5.70			9.76	0.70	7	11.09	9.00			1.49	1.01	6	2.46	0.13			6.69	0.36	13	7.22	5.89			9.56	0.34	3	9.91	9.24			0.62	0.13	30	0.81	0.35	0.80	0.39	0.19	0.11	7	0.35	0.02			4.27	1.47	7	6.53	2.51			3.63	1.18	25	5.48	1.23			0.11	0.05	29	0.25	0.04			17.41	2.54	25	21.92	13.50			2.38	1.26	29	5.74	0.59					0							0					7.98	0.10	2	8.05	7.90			1.58	0.05	3	1.63	1.52			21.68	1.05	29	24.57	19.97			0.94	0.12	29	1.16	0.69		
0.00	4	14	7.76	1.68	29	12.07	5.25	11.60	5.87	3.17	1.00	24	5.26	1.47			6.39	0.26	24	7.00	5.95			9.46	0.41	7	9.93	8.93			2.78	1.00	5	3.34	1.00			6.48	0.31	10	7.02	5.94			9.93	0.48	2	10.27	9.59			0.27	0.10	29	0.41	0.09	0.41	0.09	0.07	0.04	6	0.13	0.03			0.79	0.98	6	2.67	0.05			0.22	0.27	24	0.82	0.02			0.08	0.03	27	0.20	0.05			9.92	3.08	24	15.97	5.67			3.93	1.27	29	7.51	1.73	5.95	2.13			0							0					8.22	0.06	2	8.27	8.18			1.58	0.05	3	1.63	1.53			20.16	1.12	28	23.22	18.07			0.76	0.09	28	0.88	0.48		
0.00	5	14	8.58	1.43	29	11.00	4.65			7.81	1.15	24	10.91	4.96			6.20	0.20	24	6.65	5.86			8.30	0.19	7	8.53	8.05			6.80	1.37	7	9.25	5.05			6.43	0.22	8	6.73	6.10			8.66	0.41	3	9.13	8.39			0.12	0.09	29	0.33	0.02			0.02	0.01	6	0.03	0.01			0.07	0.03	6	0.10	0.03			0.04	0.04	24	0.21	0.01			0.08	0.05	29	0.25	0.04			7.34	3.47	25	14.67	2.35			1.75	0.61	29	3.44	1.01					0							0					8.20	0.22	2	8.36	8.05			1.54	0.04	3	1.58	1.51			19.27	0.88	28	21.26	17.84			0.59	0.09	28	0.81	0.41		
0.00	6	14	6.88	1.44	29	9.75	3.95	9.09	4.52	12.98	1.47	24	15.87	10.22			6.10	0.22	24	6.49	5.68			7.32	0.72	7	8.29	6.09			13.07	2.23	5	16.47	10.80			6.30	0.16	7	6.57	6.05			7.62	0.29	2	7.82	7.41			0.09	0.07	29	0.33	0.02	0.19	0.02	0.01	0.01	6	0.03	0.01			0.06	0.03	6	0.09	0.03			0.03	0.02	24	0.09	0.02			0.10	0.15	28	0.86	0.04			7.74	2.85	24	13.87	3.95			2.07	1.18	29	5.72	0.67	4.73	1.03			0							0					8.21	0.26	2	8.39	8.02			1.51	0.03	3	1.54	1.48			20.84	2.94	28	33.65	18.40			0.59	0.12	28	0.96	0.40		
0.00	7	14	5.74	1.22	33	9.15	2.20	7.31	4.22	17.02	1.62	28	19.90	13.31			6.06	0.24	28	6.66	5.78			6.96	0.41	11	7.82	6.36			15.00	1.26	5	16.50	13.23			6.19	0.24	9	6.57	5.89			7.00	0.20	2	7.14	6.86			0.07	0.06	33	0.23	0.02	0.21	0.02	0.02	0.02	6	0.06	0.01			0.04	0.02	5	0.07	0.03			0.05	0.04	25	0.16	0.02			0.09	0.06	33	0.30	0.04	0.20	0.04	8.94	2.64	26	14.41	5.40			3.15	1.55	33	9.30	1.46	5.74	1.58			0							0					8.11	0.04	2	8.14	8.08			1.52	0.03	3	1.55	1.49			22.14	2.68	32	30.20	18.65			0.62	0.13	32	1.13	0.42		
0.00	8	14	5.82	1.01	32	8.75	4.00	7.20	4.21	17.88	1.96	27	21.88	13.65			6.13	0.34	27	7.03	5.69			6.83	0.68	10	7.85	6.00			17.46	2.95	5	20.16	13.39			6.19	0.26	10	6.60	5.86			6.68	0.01	2	6.69	6.67			0.09	0.07	32	0.27	0.01	0.25	0.02	0.02	0.02	6	0.05	0.01			0.21	0.26	6	0.62	0.01			0.06	0.06	24	0.26	0.01			0.16	0.24	31	1.06	0.04			10.27	3.15	24	17.50	5.85			3.13	1.12	32	6.40	1.64	4.89	1.69			0							0					7.94	0.18	2	8.07	7.81			1.53	0.04	3	1.57	1.49			22.78	1.95	31	28.30	19.44			0.64	0.10	31	0.89	0.47		
0.00	9	14	7.46	0.95	29	8.85	5.75	8.75	5.92	13.45	2.04	24	16.74	9.04			6.23	0.28	24	6.81	5.81			6.97	0.36	7	7.44	6.55			13.51	1.51	5	15.90	11.80			6.28	0.25	7	6.57	5.89			7.39	0.24	2	7.56	7.22			0.22	0.13	29	0.52	0.07	0.41	0.08	0.04	0.03	5	0.09	0.01			0.38	0.30	5	0.81	0.09			0.23	0.28	24	1.18	0.02			0.32	0.44	28	2.07	0.04			12.57	3.04	24	16.65	7.00			2.57	1.02	29	5.23	0.77	4.50	1.64			0							0					8.09		1	8.09	8.09			1.58	0.03	3	1.61	1.55			20.84	1.24	28	22.71	18.35			0.67	0.13	28	0.92	0.42		
0.00	10	14	8.65	1.45	29	11.30	5.25			9.90	1.97	25	12.91	6.40			6.37	0.35	25	7.10	5.55			7.23	0.22	8	7.67	6.92			9.46	1.43	7	11.25	7.37			6.45	0.36	9	6.99	5.84			7.71	0.54	3	8.25	7.18			0.35	0.14	29	0.70	0.09			0.16	0.05	5	0.24	0.12			1.55	1.31	5	3.50	0.17			0.62	0.54	24	2.15	0.03			0.43	0.45	27	1.93	0.04			13.67	2.84	24	19.69	7.40			2.07	0.70	29	3.86	1.02					0							0					7.65	0.15	2	7.76	7.55			1.59	0.05	3	1.64	1.56			20.25	1.28	28	24.18	18.31			0.72	0.14	28	1.05	0.45		
